Player Name,Team,Nationality,Player_Type,Capped,Matches_Played,Runs,Average,Strike_Rate,Wickets,Bowling_average,Economy,Bowling_Strike_Rate,Catches,Run_outs,Stumps
Shikhar Dhawan,Punjab,Indian,Batter,1,192,5783,34.63,126.6,4,16.5,8.25,12,,,
Shreyas Iyer ,Kolkata,Indian,Batter,1,87,2375,31.67,123.96,,,,,,,
Faf Du Plessis,Bangalore,Overseas,Batter,1,100,2935,34.94,131.09,,,,,,,
Manish Pandey ,Lucknow,Indian,Batter,1,154,3560,30.69,121.83,,,,,,,
Shimron Hetmyer,Rajasthan,Overseas,Batter,1,31,517,25.85,151.17,,,,,,,
Robin Uthappa,Chenai ,Indian,Batter,1,193,4722,27.94,130.15,,,,,,,
Jason Roy,Gujarat,Overseas,Batter,1,13,329,29.91,129.02,,,,,,,
Devdutt Padikkal,Rajasthan,Indian,Batter,1,29,884,31.57,125.05,,,,,,,
Priyam Garg,Hyderabad,Indian,Batter,1,19,205,14.64,110.81,,,,,,,
Abhinav Sadarangani,Gujarat ,Indian,Batter,0,4,162,54,150,,,,,,,
Dewald Brevis,Mumbai,Overseas,Batter,0,3,85,28.3,137.1,,,,,,,
Ashwin Hebbar,Delhi,Indian,Batter,0,41,1117,34.9,125.1,,,,,,,
Rahul Tripathi,Hyderabad,Indian,Batter,1,62,1385,26.13,136.32,,,,,,,
Aiden Markram,Hyderabad,Overseas,Batter,1,6,146,29.3,122.69,,,,,,,
Ajinkya Rahane ,Kolkata,Indian,Batter,1,151,3941,31.53,121.34,,,,,,,
Mandeep Singh,Delhi,Indian,Batter,1,105,1674,22,124,,,,,,,
Rinku Singh,Kolkata,Indian,Batter,1,10,77,11,101.32,,,,,,,
Manan Vohra,Lucknow,Indian,Batter,1,53,1054,22.43,130.61,,,,,,,
Finn Allen,Bangalore,Overseas,Batter,0,6,156,26,190.24,,,,,,,
David Warner ,Delhi,Overseas,Batter,1,150,5449,41.6,139.97,,,,,,,
Devon Conway,Chennai,Overseas,Batter,0,20,602,50.2,139.3,,,,,,,
Rovman Powell,Delhi ,Overseas,Batter,0,36,524,22.78,133.33,,,,,,,
Subhranshu Senapati,Chennai,Indian,Batter,0,26,637,28.9,122.3,,,,,,,
R Samarth,Hyderabad,Indian,Batter,0,23,275,13.8,94.5,,,,,,,
Abhijeet Tomar,Kolkata,Indian,Batter,0,5,65,13,73,,,,,,,
Pratham Singh ,Kolkata,Indian,Batter,0,27,829,33.2,127.7,,,,,,,
David Miller ,Gujarat,Overseas,Batter,1,89,1974,32.9,136.51,,,,,,,
C Hari Nishaanth,Chennai,Indian,Batter,0,27,593,26.9,124.8,,,,,,,
Anmolpreet Singh,Mumbai,Indian,Batter,1,1,16,16,114.29,,,,,,,
Alex Hales ,Kolkata,Overseas,Batter,1,6,148,24.67,125.42,,,,,,,
Evin Lewis ,Lucknow,Overseas,Batter,1,21,581,27.67,138,,,,,,,
Karun Nair ,Rajasthan,Indian,Batter,1,73,1480,24.26,128.63,,,,,,,
Banuka Rajapaksa,Punjab,Overseas,Batter,0,18,320,26.7,136.2,,,,,,,
Rahul Buddhi,Mumbai,Indian,Batter,0,12,222,31.7,136.2,,,,,,,
Ramesh Kumar ,Kolkata,Indian,Batter,2,,,,,,,,,,,
Rassie Van Der Dussen ,Rajasthan,Overseas,Batter,0,34,933,38.88,130.86,,,,,,,
Kagiso Rabada ,Punjab,Overseas,Bowler ,1,50,138,13.8,102.99,76,20.53,8.21,15,,,
Trent Boult ,Rajasthan,Overseas,Bowler ,1,62,13,4.33,68.42,76,26.09,8.4,18.64,,,
Mohammad Shami ,Gujarat,Indian,Bowler ,1,77,69,6.27,94.53,79,30.41,8.63,21.14,,,
T Natarajan,Hyderabad,Indian,Bowler ,1,24,3,3,60,20,34.4,8.24,25.05,,,
Deepak Chahar ,Chennai,Indian,Bowler ,1,63,79,11.29,138.6,59,29.19,7.8,22.44,,,
Prasidh Krishna ,Rajasthan,Indian,Bowler ,1,34,3,1.5,25,30,38.4,9.27,24.87,,,
Lockei Ferguson,Gujarat,Overseas,Bowler ,1,22,62,0,151.22,24,27,8.12,19.96,,,
Josh Hazlewood ,Bangalore,Overseas,Bowler ,1,12,,,,12,29.75,7.93,22.5,,,
Mark Wood,Lucknow,Overseas,Bowler ,0,19,11,,84.62,26,24.08,8.76,16.5,,,
Bhuvneshwar Kumar,Hyderabad,Indian,Bowler ,1,132,217,8.35,96.88,142,25.27,7.3,20.77,,,
Shardul Thakur ,Delhi,Indian,Bowler ,1,61,53,6.62,112.77,67,27.87,8.89,18.81,,,
Mustafizur Rahman ,Delhi,Overseas,Bowler ,1,38,9,9,52.94,38,29.5,7.84,22.58,,,
Kuldeep Yadav,Delhi,Indian,Bowler ,1,45,57,9.5,76,40,30.9,8.28,22.4,,,
Rahul Chahar ,Punjab,Indian,Bowler ,1,42,31,4.43,96.88,43,25.98,7.45,20.93,,,
Yuzvendra Chahal ,Rajasthan,Indian,Bowler ,1,114,32,5.3,41.03,139,22.28,7.59,17.61,,,
Basil Thampi,Mumbai,Indian,Bowler ,1,20,32,,,17,40.82,9.8,25,,,
Kartik Tyagi,Hyderabad,Indian,Bowler ,1,14,6,,,13,37.7,9.41,24.08,,,
Akash Deep ,Bangalore,Indian,Bowler ,0,22,,,,26,18.5,6.42,,,,
KM Saif ,Chennai,Indian,Bowler ,0,3,,,,4,23.2,11.38,,,,
Avesh Khan,Lucknow,Indian,Bowler ,1,25,,,,29,25.83,8.23,18.83,,,
Ishan Porel ,Punjab,Indian,Bowler ,1,1,,,,1,39,9.74,,,,
Tushar Deshpande,Chennai,Indian,Bowler ,1,5,,,,3,64,11.29,34,,,
Ankit Singh Rajpoot,Lucknow,Indian,Bowler ,1,29,,,,24,33.92,9.23,22.04,,,
Noor Ahmad,Gujarat,Overseas,Bowler ,0,35,,,,35,27.1,7.13,,,,
Murugan Ashwin,Mumbai,Indian,Bowler ,1,34,,,,26,33.88,7.87,25.85,,,
KC Cariappa,Rajasthan,Indian,Bowler ,1,11,,,,8,43.5,9.67,27,,,
Shreyas Gopal,Hyderabad,Indian,Bowler ,1,48,,,,48,25.98,8.04,19.4,,,
Jagadeesha Suchith,Hyderabad,Indian,Bowler ,1,17,,,,12,38.5,8.88,26,,,
R Sai Kishore,Gujarat,Indian,Bowler ,0,38,,,,43,17.4,5.46,,,,
Khaleel Ahmed ,Delhi,Indian,Bowler ,1,24,,,,32,24.56,8.69,16.97,,,
Dushmanta Chameera,Lucknow,Overseas,Bowler ,1,41,,,,42,27.21,7.92,20.62,,,
Chetan Sakariya ,Delhi,Indian,Bowler ,1,14,,,,14,30.43,8.19,22.29,,,
Sandeep Sharma ,Punjab,Indian,Bowler ,1,99,,,,112,25.44,7.78,19.62,,,
Navdeep Saini,Rajasthan,Indian,Bowler ,1,28,,,,17,48.71,8.48,34.47,,,
Jaydev Unadkat,Mumbai,Indian,Bowler ,1,86,,,,85,30.45,8.74,20.89,,,
Mayank Markande,Mumbai,Indian,Bowler ,1,18,,,,16,28.31,8.55,19.88,,,
Shahbaz Nadeem ,Lucknow,Indian,Bowler ,1,72,,,,48,37.17,7.56,29.48,,,
Maheesh Theekshana ,Chennai,Overseas,Bowler ,0,11,,,,9,28.6,6.42,,,,
Yash Dayal,Gujarat,Indian,Bowler ,0,15,,,,15,22.1,7.21,,,,
Simarjeet Singh ,Chennai,Indian,Bowler ,0,20,,,,24,20.4,7.45,,,,
Daniel Sams,Mumbai,Overseas,Bowler ,1,5,,,,6,153,8.5,108,,,
Jason Behrendoff,Bangalore,Overseas,Bowler ,1,5,,,,5,33,8.68,,,,
Obed McCoy,Rajasthan,Overseas,Bowler ,0,13,,,,19,16.8,7.6,,,,
Tymal Mills ,Mumbai,Overseas,Bowler ,1,5,,,,5,30.6,8.58,21.4,,,
Adam Milne ,Chennai,Overseas,Bowler ,1,9,,,,7,44,9.62,27.43,,,
Vaibhav Arora ,Punjab,Indian,Bowler ,0,12,,,,12,25.2,6.96,,,,
Mukesh Choudhary ,Chennai,Indian,Bowler ,0,12,,,,16,22.9,8.5,,,,
Rasikh Dar,Kolkata,Indian,Bowler ,1,1,,,,1,,10.5,,,,
Mohsin Khan,Lucknow,Indian,Bowler ,0,26,,,,33,19.3,7.08,,,,
Chama Milind,Bangalore,Indian,Bowler ,0,53,,,,83,17.2,7.63,,,,
Prashant Solanki ,Chennai,Indian,Bowler ,2,,,,,,,,,,,
Sean Abbott,Hyderabad,Overseas,Bowler ,1,2,,,,0,,11.4,,,,
Alzarri Joseph,Gujarat,Overseas,Bowler ,1,3,,,,6,14.5,10.04,8.67,,,
Riley Meredith ,Mumbai,Indian,Bowler ,1,5,,,,4,42.25,9.94,25.5,,,
Baltej Dhanda,Punjab,Indian,Bowler ,0,22,,,,26,24.5,7.81,,,,
Saurabh Dubey ,Hyderabad,Indian,Bowler ,0,3,,,,0,,8,,,,
Ashok Sharma ,Kolkata,Indian,Bowler ,2,,,,,,,,,,,
Lungi Ngidi ,Delhi ,Overseas,Bowler ,1,14,,,,25,17.92,8.3,12.96,,,
Karn Sharma ,Bangalore,Indian,Bowler ,1,19,,,,12,41.2,8.27,,,,
Kuldeep Sen ,Rajasthan,Indian,Bowler ,2,,,,,,,,,,,
Fazalhaq Farooqi,Hyderabad,Indian,Bowler ,0,1,,,,1,27,6.75,24,,,
Mayank Yadav,Lucknow,Indian,Bowler ,2,,,,,,,,,,,
Tejas Baroka ,Rajasthan,Indian,Bowler ,2,1,,,,0,,9.43,,,,
Tim Southee,Kolkata,Overseas,Bowler ,1,43,,,,31,44.77,8.68,30.97,,,
Varun Aaron ,Gujarat,Indian,Bowler ,1,50,,,,42,34.02,8.89,22.95,,,
Kuldip Yadav,Rajasthan,Indian,Bowler ,1,1,,,,0,,8,,,,
Umesh Yadav,Kolkata,Indian,Bowler ,1,121,,,,119,30.08,8.51,21.19,,,
Nathan Coulter-Nile,Rajasthan,Overseas,Bowler ,1,38,,,,48,21.92,7.52,17.48,,,
Siddharth Kaul ,Bangalore,Indian,Bowler ,1,54,,,,58,29.24,8.59,20.43,,,
Quinton De Kock,Lucknow,Overseas,Keeper,1,77,2256,31.3,130.9,,,,,53,0,14
Ambati Rayudu,Chennai,Indian,Keeper,1,175,3916,29.4,127.5,,,,,58,12,2
Ishan Kishan,Mumbai,Indian,Keeper,1,61,1452,28.5,136.3,,,,,19,1,2
Jonny Bairstow,Punjab,Overseas,Keeper,1,28,1038,41.5,142.2,,,,,18,1,4
Dinesh Karthik,Bangalore,Indian,Keeper,1,213,4046,25.8,129.7,,,,,123,14,32
Nicholas Pooran ,Hyderabad,Overseas,Keeper,1,33,606,22.4,155,,,,,11,3,0
KS Bharat,Delhi,Indian,Keeper,1,8,191,38.2,122.4,,,,,4,0,1
Anuj Rawat,Bangalore,Indian,Keeper,1,1,0,0,0,,,,,3,0,0
Prabhsimran Singh,Punjab,Indian,Keeper,1,5,50,10,90.9,,,,,2,0,0
Sheldon Jackson ,Kolkata,Overseas,Keeper,1,4,38,19,122.6,,,,,2,0,0
Jitesh Sharma ,Punjab,Indian,Keeper,0,54,1329,28.3,141.8,,,,,38,5,8
Baba Indrajith ,Kolkata,Indian,Keeper,0,20,319,19.9,104.6,,,,,6,1,0
Sam Billings ,Kolkata,Overseas,Keeper,1,22,334,17.6,133.6,,,,,13,1,0
Wridhhiman Saha ,Gujarat,Indian,Keeper,1,133,2110,24.5,128.7,,,,,69,3,20
Matthew Wade,Gujarat,Overseas,Keeper,0,56,733,20.4,126.6,,,,,36,3,3
N Jagadeesan ,Chennai,Indian,Keeper,1,5,33,16.5,113.8,,,,,,,
Vishnu Vinod,Hyderabad,Indian,Keeper,1,3,19,6.3,73.1,,,,,0,0,2
Glenn Philips,Hyderabad,Overseas,Keeper,0,35,645,25.8,140.2,,,,,19,1,2
Tim Seifert,Delhi,Overseas,Keeper,0,40,753,23.5,129.8,,,,,21,4,6
Dhruv Jurel,Rajasthan,Indian,Keeper,0,2,28,14,75.7,,,,,3,0,0
Aryan Juyal ,Mumbai,Indian,Keeper,0,7,67,16.8,124.1,,,,,1,0,0
Luvnith Sisodia ,Bangalore,Indian,Keeper,0,7,45,11.2,140.6,,,,,2,1,4
Ravichandran Ashwin ,Rajasthan,Indian,Allrounder,1,167,456,11.12,109.88,145,27.8,6.91,24.12,,,
Pat Cummins ,Kolkata,Overseas,Allrounder,1,37,316,19.75,140.44,38,30.13,8.24,21.95,,,
Dwayne Bravo ,Chennai,Overseas,Allrounder,1,151,1537,22.94,130.25,167,24.32,8.36,17.44,,,
Nitish Rana ,Kolkata,Indian,Allrounder,1,77,1820,28,132.46,7,22,8.03,16.43,,,
